Tamaño,Row Product Time microseconds,Column Product Time microseconds
110x110,13970,14019
210x210,88009,84959
310x310,280964,277000
410x410,698032,671979
510x510,1491030,1323968
610x610,2548031,2254999
710x710,3921024,3547016
810x810,6048034,5425998
910x910,9240029,7730998
1010x1010,14563000,12814001
1110x1110,16125999,14350029
1210x1210,22371969,18885002
1310x1310,30569998,26533031
1410x1410,41178998,34558017
1510x1510,58591028,49927998
1610x1610,67299995,58453992
1710x1710,85209999,73690028
1810x1810,105573998,88872999
1910x1910,122307994,105198030
2010x2010,152320999,130189999
